session,product
f27839129e783421/160,332
f27839129e783421/161,900
f27839129e783421/161,332
f27839129e783421/162,854
f27839129e783421/163,199
f27839129e783421/164,232
f27839129e783421/167,280
f27839129e783421/168,266
f27839129e783421/170,797
f27839129e783421/173,900
f27839129e783421/173,1562
f27839129e783421/173,332
f27839129e783421/178,1562
f27839129e783421/178,332
f27839129e783421/181,1562
f27839129e783421/181,332
f27839129e783421/182,900
f27839129e783421/182,1562
f27839129e783421/182,332
f27839129e783421/183,430
132453578ea5d0c0/1,170
fb1e628157cc61f3/3,3281
5cde93575988a731/3,55
5cde93575988a731/5,328
1dcfc3c11ca0a59c/2,226
925619218c8fac64/1,147
925619218c8fac64/1,199
925619218c8fac64/1,849
1dceecf84116d04b/3,48
299fbd8facf51561/5,3012
299fbd8facf51561/5,3157
299fbd8facf51561/5,3100
299fbd8facf51561/5,3177
299fbd8facf51561/5,3012
299fbd8facf51561/5,3086
54f45daa3ba0bbfd/6,70
54f45daa3ba0bbfd/6,1183
54f45daa3ba0bbfd/6,1658
54f45daa3ba0bbfd/7,247
54f45daa3ba0bbfd/7,1658
54f45daa3ba0bbfd/8,15
95d8da8d7bc244b4/3,62
95d8da8d7bc244b4/4,170
95d8da8d7bc244b4/5,170
2ba9fcafd742c623/103,89
2ba9fcafd742c623/103,403
2ba9fcafd742c623/112,948
b58bb790bd6d8dd1/2,157
b58bb790bd6d8dd1/2,345
dbdcb2894c8d7ff2/9,354
dbdcb2894c8d7ff2/9,1536
dbdcb2894c8d7ff2/9,631
9250d5f5c9419582/1,37
9250d5f5c9419582/2,26
6ca615cf39718c54/1,900
6ca615cf39718c54/1,1199
6ca615cf39718c54/1,1562
6ca615cf39718c54/1,1767
6ca615cf39718c54/1,3660
6ca615cf39718c54/1,332
137f81bb2886a26e/1,174
137f81bb2886a26e/1,291
137f81bb2886a26e/1,847
f9f25b8ff3985089/1,1347
8e20afe9f34cfeed/3,872
1d784ae7020fe4e3/17,757
656821b00ce43a47/1,255
656821b00ce43a47/1,583
656821b00ce43a47/1,1341
656821b00ce43a47/2,120
656821b00ce43a47/2,809
656821b00ce43a47/4,583
0f17c66065ea7dff/1,298
0f17c66065ea7dff/1,3010
0f17c66065ea7dff/2,113
0f17c66065ea7dff/2,3103
0f17c66065ea7dff/2,298
0f17c66065ea7dff/2,3010
0fbddc87ca322a29/1,170
94abd6662543bd51/2,699
51285d31a1f0784c/3,992
55b283e8f84ece80/2,1266
89a4b239e9b3c998/7,76
89a4b239e9b3c998/7,4180
89a4b239e9b3c998/8,165
89a4b239e9b3c998/8,110
89a4b239e9b3c998/9,1530
89a4b239e9b3c998/9,1571
89a4b239e9b3c998/9,1167
353a3a9426e3db5a/2,185
c6677999b692723e/28,513
c6677999b692723e/28,436
c6677999b692723e/29,1771
c6677999b692723e/29,1531
c6677999b692723e/29,1537
c6677999b692723e/29,2099
c6677999b692723e/30,2099
41dc99e71f13e370/1,409
31ef85fe83d43ff4/13,9
31ef85fe83d43ff4/13,156
31ef85fe83d43ff4/13,281
31ef85fe83d43ff4/13,847
31ef85fe83d43ff4/13,921
31ef85fe83d43ff4/13,1134
31ef85fe83d43ff4/13,1208
31ef85fe83d43ff4/13,1220
31ef85fe83d43ff4/13,1453
31ef85fe83d43ff4/13,1658
31ef85fe83d43ff4/14,170
8c179abea0995c28/3,259
8c179abea0995c28/4,3799
8c179abea0995c28/4,4188
bbab8482396faa37/2,48
bbab8482396faa37/2,129
bbab8482396faa37/2,259
bbab8482396faa37/2,380
bbab8482396faa37/2,583
bbab8482396faa37/2,206
bbab8482396faa37/2,187
bbab8482396faa37/2,673
bbab8482396faa37/2,400
bbab8482396faa37/2,1237
bbab8482396faa37/2,346
bbab8482396faa37/2,1536
bbab8482396faa37/4,259
bbab8482396faa37/4,297
cc2237dd8b1b3e6b/2,3972
cc2237dd8b1b3e6b/2,1005
cc2237dd8b1b3e6b/2,4533
cc2237dd8b1b3e6b/2,3071
cc2237dd8b1b3e6b/2,4529
cc2237dd8b1b3e6b/2,4111
fb2a860c2b73790a/12,280
bfdf049486392bd2/1,253
bfdf049486392bd2/1,350
bfdf049486392bd2/2,1258
bfdf049486392bd2/3,774
bfdf049486392bd2/4,2370
bfdf049486392bd2/4,1376
bfdf049486392bd2/4,1989
bfdf049486392bd2/4,1134
bfdf049486392bd2/6,62
bfdf049486392bd2/7,187
bfdf049486392bd2/7,2003
bfdf049486392bd2/8,742
bfdf049486392bd2/9,55
bfdf049486392bd2/10,262
bfdf049486392bd2/10,2124
bfdf049486392bd2/10,2617
bfdf049486392bd2/10,2283
bfdf049486392bd2/10,3699
bfdf049486392bd2/10,1905
bfdf049486392bd2/10,55
bfdf049486392bd2/12,1830
bfdf049486392bd2/13,97
bfdf049486392bd2/13,1084
bfdf049486392bd2/13,52
bfdf049486392bd2/14,217
bfdf049486392bd2/14,370
bfdf049486392bd2/14,262
bfdf049486392bd2/14,1376
bfdf049486392bd2/15,2173
bfdf049486392bd2/16,326
bfdf049486392bd2/17,346
bfdf049486392bd2/18,1376
bfdf049486392bd2/18,671
bfdf049486392bd2/20,3162
bfdf049486392bd2/20,3162
bfdf049486392bd2/21,3117
bfdf049486392bd2/21,3051
4f7d191f104116a8/1,10
00b3a43caf4209d2/5,73
00b3a43caf4209d2/5,147
00b3a43caf4209d2/5,585
00b3a43caf4209d2/5,774
00b3a43caf4209d2/5,781
00b3a43caf4209d2/5,812
00b3a43caf4209d2/5,847
00b3a43caf4209d2/5,1194
00b3a43caf4209d2/5,1300
00b3a43caf4209d2/5,1384
00b3a43caf4209d2/5,1463
00b3a43caf4209d2/5,2205
00b3a43caf4209d2/5,2376
00b3a43caf4209d2/6,52
00b3a43caf4209d2/6,73
00b3a43caf4209d2/6,156
00b3a43caf4209d2/6,1669
00b3a43caf4209d2/7,499
00b3a43caf4209d2/7,52
00b3a43caf4209d2/7,156
00b3a43caf4209d2/7,797
00b3a43caf4209d2/8,57
00b3a43caf4209d2/8,53
00b3a43caf4209d2/8,113
00b3a43caf4209d2/8,147
00b3a43caf4209d2/8,200
00b3a43caf4209d2/8,419
00b3a43caf4209d2/8,671
00b3a43caf4209d2/8,682
00b3a43caf4209d2/8,738
00b3a43caf4209d2/8,781
00b3a43caf4209d2/8,797
00b3a43caf4209d2/8,1082
00b3a43caf4209d2/8,1366
00b3a43caf4209d2/8,1938
00b3a43caf4209d2/10,269
00b3a43caf4209d2/10,763
00b3a43caf4209d2/10,924
00b3a43caf4209d2/10,1719
00b3a43caf4209d2/10,1379
00b3a43caf4209d2/10,1536
00b3a43caf4209d2/10,42
00b3a43caf4209d2/10,395
00b3a43caf4209d2/10,590
00b3a43caf4209d2/10,2031
00b3a43caf4209d2/11,1309
00b3a43caf4209d2/11,1879
095b74d9b85d294a/2,117
095b74d9b85d294a/2,185
095b74d9b85d294a/2,199
095b74d9b85d294a/2,268
095b74d9b85d294a/2,350
095b74d9b85d294a/2,487
095b74d9b85d294a/2,757
095b74d9b85d294a/4,31
095b74d9b85d294a/4,781
095b74d9b85d294a/5,170
095b74d9b85d294a/5,477
095b74d9b85d294a/5,147
095b74d9b85d294a/5,420
095b74d9b85d294a/5,671
095b74d9b85d294a/5,847
095b74d9b85d294a/5,1347
095b74d9b85d294a/6,436
095b74d9b85d294a/6,4037
095b74d9b85d294a/7,170
095b74d9b85d294a/7,677
095b74d9b85d294a/8,265
095b74d9b85d294a/8,296
095b74d9b85d294a/8,952
095b74d9b85d294a/8,1246
095b74d9b85d294a/8,2579
095b74d9b85d294a/8,677
095b74d9b85d294a/9,26
095b74d9b85d294a/9,1636
095b74d9b85d294a/9,3799
46e2bd8eb6dd6758/1,1623
eae470af2435704c/1,431
eae470af2435704c/1,1499
eae470af2435704c/3,1255
1e1ea036e282d03c/1,345
7145a03cd43de897/8,3085
7145a03cd43de897/8,3080
28b5982a3484ba59/3,156
28b5982a3484ba59/3,1145
28b5982a3484ba59/3,1384
28b5982a3484ba59/3,2261
464ae9d896823f60/4,306
91314c85a42faab2/12,303
91314c85a42faab2/12,616
91314c85a42faab2/12,731
91314c85a42faab2/12,835
91314c85a42faab2/12,810
91314c85a42faab2/13,731
91314c85a42faab2/13,810
91314c85a42faab2/13,2374
91314c85a42faab2/14,731
91314c85a42faab2/15,731
91314c85a42faab2/16,731
91314c85a42faab2/17,731
91314c85a42faab2/18,731
91314c85a42faab2/19,616
91314c85a42faab2/20,731
c8a3448ef3d18203/6,62
c8a3448ef3d18203/6,129
c8a3448ef3d18203/6,297
c8a3448ef3d18203/7,345
a385a81bf1db0cd2/1,10
a385a81bf1db0cd2/1,26
a385a81bf1db0cd2/1,381
a385a81bf1db0cd2/1,632
12a00dda3cd61c69/3,232
c36b9199789ec51c/9,1493
c36b9199789ec51c/9,1902
c36b9199789ec51c/9,68
c36b9199789ec51c/9,784
88064a5427440fcb/5,1009
88064a5427440fcb/5,2008
88064a5427440fcb/9,188
88064a5427440fcb/9,1401
88064a5427440fcb/9,426
88064a5427440fcb/9,570
88064a5427440fcb/9,2075
88064a5427440fcb/9,2275
1f4074b0f42eb0bb/1,170
3005204c58907bd7/1,37
dc747c104782f3c9/1,1599
a3f317ee84846e2b/16,96
a3f317ee84846e2b/17,37
a3f317ee84846e2b/19,96
8f42c241a4e57567/3,96
8f42c241a4e57567/3,482
8f42c241a4e57567/4,482
8f42c241a4e57567/4,1567
f2d52dca5f02b94d/118,4431
df2c4eb0be58a385/10,280
df2c4eb0be58a385/10,567
df2c4eb0be58a385/10,2492
df2c4eb0be58a385/11,257
e6f631b647fd05c6/8,1133
e6f631b647fd05c6/8,1536
02116a1ace862af3/2,37
c9d564d284e55bb4/2,29
c9d564d284e55bb4/2,129
c9d564d284e55bb4/2,919
c9d564d284e55bb4/3,1499
bb38268b579679e8/2,26
6ac844b9ba970b64/2,187
6ac844b9ba970b64/2,1084
5e5d1799cd0498b5/10,37
5e5d1799cd0498b5/11,37
5e5d1799cd0498b5/12,31
5e5d1799cd0498b5/14,37
5e5d1799cd0498b5/16,37
5e5d1799cd0498b5/18,37
5e5d1799cd0498b5/18,293
5e5d1799cd0498b5/18,302
5e5d1799cd0498b5/18,726
5e5d1799cd0498b5/18,1567
5e5d1799cd0498b5/19,37
f41dea0d533a7f59/1,847
f41dea0d533a7f59/1,2333
4fc272b7d5acebfd/6,170
38d175d34bc49101/1,560
38d175d34bc49101/1,281
0fa036bf59562c53/1,1706
19ed87c6743028aa/6,253
19ed87c6743028aa/6,946
19ed87c6743028aa/6,387
19ed87c6743028aa/6,524
19ed87c6743028aa/6,117
19ed87c6743028aa/9,31
19ed87c6743028aa/9,827
25a1b717d8a06319/1,26
784384148f1e1449/14,2168
784384148f1e1449/14,1310
784384148f1e1449/14,646
784384148f1e1449/14,1579
784384148f1e1449/14,2347
784384148f1e1449/15,847
25c4aa48cd721ea2/5,370
cfb85dbeca77cd0c/9,58
b7415f2ba94c69f4/1,2356
b7415f2ba94c69f4/1,1183
52b080e818d68788/92,1531
df1a8fca3807ae0c/7,37
df1a8fca3807ae0c/7,43
df1a8fca3807ae0c/7,485
df1a8fca3807ae0c/7,1025
df1a8fca3807ae0c/7,492
df1a8fca3807ae0c/7,709
df1a8fca3807ae0c/8,52
df1a8fca3807ae0c/8,1164
df1a8fca3807ae0c/9,1025
df1a8fca3807ae0c/9,492
df1a8fca3807ae0c/9,1970
df1a8fca3807ae0c/9,709
df1a8fca3807ae0c/10,37
df1a8fca3807ae0c/10,1137
df1a8fca3807ae0c/10,1495
df1a8fca3807ae0c/10,2393
df1a8fca3807ae0c/10,2972
df1a8fca3807ae0c/10,31
df1a8fca3807ae0c/10,1596
df1a8fca3807ae0c/11,519
df1a8fca3807ae0c/11,1308
df1a8fca3807ae0c/12,1070
df1a8fca3807ae0c/12,2078
df1a8fca3807ae0c/12,2379
df1a8fca3807ae0c/12,2502
df1a8fca3807ae0c/12,3720
df1a8fca3807ae0c/12,3877
df1a8fca3807ae0c/12,1328
df1a8fca3807ae0c/13,43
df1a8fca3807ae0c/13,156
df1a8fca3807ae0c/13,395
df1a8fca3807ae0c/13,419
df1a8fca3807ae0c/14,1495
df1a8fca3807ae0c/14,1982
df1a8fca3807ae0c/15,2393
df1a8fca3807ae0c/15,2972
df1a8fca3807ae0c/15,1596
df1a8fca3807ae0c/16,1025
df1a8fca3807ae0c/16,492
df1a8fca3807ae0c/16,709
df1a8fca3807ae0c/17,48
df1a8fca3807ae0c/17,890
df1a8fca3807ae0c/17,1475
df1a8fca3807ae0c/17,52
df1a8fca3807ae0c/17,285
df1a8fca3807ae0c/17,430
df1a8fca3807ae0c/17,594
df1a8fca3807ae0c/17,605
df1a8fca3807ae0c/17,919
df1a8fca3807ae0c/17,1494
df1a8fca3807ae0c/18,37
df1a8fca3807ae0c/18,43
df1a8fca3807ae0c/18,519
df1a8fca3807ae0c/18,31
df1a8fca3807ae0c/18,1308
df1a8fca3807ae0c/19,37
df1a8fca3807ae0c/19,31
df1a8fca3807ae0c/20,43
df1a8fca3807ae0c/20,764
df1a8fca3807ae0c/21,37
df1a8fca3807ae0c/22,37
0b677d82ecfdbd97/7,170
ec6b77b9d23fa47d/1,170
ec6b77b9d23fa47d/1,297
ec6b77b9d23fa47d/1,922
ec6b77b9d23fa47d/1,1611
ec6b77b9d23fa47d/1,1530
ec6b77b9d23fa47d/1,1571
b5e3ce58efaca154/1,43
300698c0ec27fe44/5,875
300698c0ec27fe44/5,1531
300698c0ec27fe44/6,2100
300698c0ec27fe44/6,1531
75710ad4bf1e98e4/2,728
75710ad4bf1e98e4/2,1235
75710ad4bf1e98e4/3,2404
